Price,Close,High,Low,Open,Volume,Year,Month,Day
Ticker,GS,GS,GS,GS,GS,,,
Date,,,,,,,,
2023-08-14,322.7612609863281,323.4397935671561,320.0089839847854,322.4459092801263,1347000,2023,8,14
2023-08-15,317.4765625,319.21585296049153,315.8233062267457,318.51821777645756,1657800,2023,8,15
2023-08-16,314.5140380859375,318.15509234984125,314.38026221700574,315.8806401008219,3340300,2023,8,16
2023-08-17,312.9944763183594,319.1775329615635,309.63059883015325,315.36449880848943,3135200,2023,8,17
2023-08-18,310.5194091796875,313.09011052344084,308.8661530163371,309.93647656267774,1730100,2023,8,18
2023-08-21,307.7766418457031,311.9146227472404,305.22507263467804,310.9589727311601,1983500,2023,8,21
2023-08-22,304.6517028808594,308.33096159066446,304.1929803347738,308.1780540753026,1810300,2023,8,22
2023-08-23,308.03466796875,308.14937047268376,303.89671608198705,306.4005145482264,1429000,2023,8,23
2023-08-24,305.76983642578125,312.96588142053554,305.33981132497735,307.8627127420843,1185600,2023,8,24
2023-08-25,305.95135498046875,308.407382586731,304.078289064918,306.57252167467374,1159600,2023,8,25
2023-08-28,311.5132751464844,312.1153393967781,307.08861036264557,307.08861036264557,1440100,2023,8,28
2023-08-29,317.80145263671875,317.944823493643,310.2804904587164,311.12146727528847,1831700,2023,8,29
2023-08-30,316.6258239746094,319.8346907589819,315.72966562871807,317.99417548713376,1131500,2023,8,30
2023-08-31,315.7874450683594,318.46630361615456,314.1011125082324,317.42560846111945,1271100,2023,8,31
2023-09-01,315.4887390136719,319.55521087859415,314.3420304716395,317.67617216211875,1201400,2023,9,1
2023-09-05,311.9715270996094,316.52945374239766,310.8922789542716,315.43091440405334,1846000,2023,9,5
2023-09-06,309.4468994140625,312.34740131365487,307.69310620001545,310.5839625015963,2120800,2023,9,6
2023-09-07,310.24664306640625,312.424430560789,308.4832339287177,308.95539764279636,1471100,2023,9,7
2023-09-08,313.6771545410156,314.11079472710065,309.95760040451904,310.20815068157344,2026400,2023,9,8
2023-09-11,312.8388366699219,318.13874005520637,312.4919480183948,316.31751582006535,1283100,2023,9,11
2023-09-12,318.86138916015625,323.0820433373176,312.212426695328,312.22207229167503,2054700,2023,9,12
2023-09-13,322.7929992675781,324.74914403140855,318.784341989484,321.36683302016786,2165000,2023,9,13
2023-09-14,332.03411865234375,332.56409720017507,324.59498075053773,326.66675517475625,2822700,2023,9,14
2023-09-15,330.0779724121094,333.5951749420735,329.42268931741114,332.5930032154559,3058800,2023,9,15
2023-09-18,330.8295593261719,331.73536320250196,326.92688618054353,330.0779379614838,1356600,2023,9,18
2023-09-19,329.4515686035156,332.41950087423163,325.6741708516628,330.96442741616846,1660200,2023,9,19
2023-09-20,324.450439453125,331.2921089376733,324.05535224336575,330.1454002917967,1224400,2023,9,20
2023-09-21,318.22540283203125,322.5135174428176,318.0712203243549,322.3304275529086,1685100,2023,9,21
2023-09-22,315.9609069824219,319.4781088809,314.9394442436642,318.09049578773687,1669100,2023,9,22
